"wl","avg.v.u","avg.v.s","avg.v.m","avg.v.l"
300,0,0,0,0
301,0,0,0,0
302,0,0,0,0
303,0,0,0,0
304,0,0,0,0
305,0,0,0,0
306,0,0,0,0
307,0,0,0,0
308,0,0,0,0
309,0,0,0,0
310,0,0,0,0
311,0,0,0,0
312,0,0,0,0
313,0,0,0,0
314,0,0,0,0
315,0,0,0,0
316,2.33300018664001e-05,0,0,0
317,0.000148560011884801,0,0,0
318,0.000271600021728002,0,0,0
319,0.000392420031393602,0,0,0
320,0.000510980040878403,0,0,0
321,0.000627240050179204,0,0,0
322,0.000741210059296805,0,0,0
323,0.000852880068230405,0,0,0
324,0.000962280076982406,0,0,0
325,0.00106943008555441,0,0,0
326,0.00117438009395041,0,0,0
327,0.00127720010217601,0,0,0
328,0.00137797011023761,0,0,0
329,0.00147678011814241,0,0,0
330,0.00157373012589841,0,0,0
331,0.00166897013351761,0,0,0
332,0.00176263014101041,0,0,0
333,0.00185487014838961,0,0,0
334,0.00194585015566801,0,0,0
335,0.00203576016286081,0,0,0
336,0.00212478016998241,0,0,0
337,0.00221312017704961,0,0,0
338,0.00230099018407921,0,0,0
339,0.00238860019108802,0,0,0
340,0.00247618019809442,0,0,0
341,0.00256396020511682,0,0,0
342,0.00265215021217202,0,0,0
343,0.00274099021927922,0,0,0
344,0.00283070022645602,0,0,0
345,0.00292151023372082,0,0,0
346,0.00301363024109042,0,0,0
347,0.00310728024858242,0,0,0
348,0.00320265025621202,0,0,0
349,0.00329994026399522,0,0,0
350,0.00339933027194642,0,0,0
351,0.00350098028007842,0,0,0
352,0.00360505028840402,0,0,0
353,0.00371168029693442,0,0,0
354,0.00382098030567842,0,0,0
355,0.00393306031464483,0,0,0
356,0.00404800032384003,0,0,0
357,0.00416586033326883,0,0,0
358,0.00428668034293443,0,0,0
359,0.00441050035284003,0,0,0
360,0.00453732036298563,0,0,0
361,0.00466712037336963,0,0,0
362,0.00479986038398883,0,0,0
363,0.00493549039483923,0,0,0
364,0.00507393040591443,0,0,0
365,0.00521510041720803,0,0,0
366,0.00535888042871043,0,0,0
367,0.00550514044041124,0,0,0
368,0.00565375045230004,0,0,0
369,0.00580454046436324,0,0,0
370,0.00595735047658804,0,0,0
371,0.00611198048895844,0,0,0
372,0.00626826050146084,0,0,0
373,0.00642596051407684,0,0,0
374,0.00658488052679044,0,0,0
375,0.00674480053958404,0,0,0
376,0.00690548055243844,0,0,0
377,0.00706670056533605,0,0,0
378,0.00722822057825765,0,0,0
379,0.00738980059118405,0,0,0
380,0.00755118060409445,0,0,0
381,0.00771214061697125,0,0,0
382,0.00787242062979365,0,0,0
383,0.00803177064254165,0,0,0
384,0.00818996065519685,0,0,0
385,0.00834673066773845,0,0,0
386,0.00850185068014805,0,0,0
387,0.00865507069240566,0,0,0
388,0.00880616070449286,0,0,0
389,0.00895487071638966,0,0,0
390,0.00910099072807926,0,0,0
391,0.00924426073954086,0,0,0
392,0.00938447075075766,0,0,0
393,0.00952139076171126,0,0,0
394,0.00965479077238326,0,0,0
395,0.00978445078275606,0,0,0
396,0.00991016079281286,0,0,0
397,0.0100316808025345,0,0,0
398,0.0101488108119049,0,0,0
399,0.0102613308209065,0,0,0
400,0.0103690308295225,0,0,0
401,0.0104716808377345,0,0,0
402,0.0105690908455273,0,0,0
403,0.0106610308528825,0,0,0
404,0.0107473008597841,0,0,0
405,0.0108276808662145,0,0,0
406,0.0109019608721569,0,0,0
407,0.0109699308775945,0,0,0
408,0.0110314008825121,0,0,0
409,0.0110861408868913,0,0,0
410,0.0111339508907161,0,0,0
411,0.0111746208939697,0,0,0
412,0.0112079708966377,0,0,0
413,0.0112337808987025,0,0,0
414,0.0112518709001497,0,0,0
415,0.0112620509009641,0,0,0
416,0.0112641309011305,0,0,0
417,0.0112579409006353,0,0,0
418,0.0112433108994649,0,0,0
419,0.0112200908976073,0,0,0
420,0.0111881208950497,0,0,0
421,0.0111472808917825,0,0,0
422,0.0110974508877961,0,0,0
423,0.0110385108830809,0,0,0
424,0.0109703808776305,0,0,0
425,0.0108930008714401,0,0,0
426,0.0108063208645057,0,0,0
427,0.0107103108568249,0,0,0
428,0.0106049708483977,1.00000004e-08,0,0
429,0.0104903108392249,2.00000008e-08,0,0
430,0.0103664008293121,7.00000028000001e-08,0,0
431,0.0102333108186649,2.00000008e-07,0,0
432,0.0100911408072913,5.50000022000001e-07,0,0
433,0.00994003079520246,1.3700000548e-06,0,0
434,0.00978015078241206,3.17000012680001e-06,0,0
435,0.00961170076893606,6.84000027360001e-06,0,0
436,0.00943489075479126,1.38600005544e-05,0,0
437,0.00925001074000086,2.64400010576e-05,0,0
438,0.00905735072458806,4.78000019120001e-05,0,0
439,0.00885722070857766,8.22300032892001e-05,0,0
440,0.00865001069200085,0.000135150005406,0,0
441,0.00843610067488805,0.0002130700085228,0,0
442,0.00821592065727365,0.000323300012932001,0,0
443,0.00798993063919445,0.000473660018946401,0,0
444,0.00775863062069045,0.000671990026879601,0,0
445,0.00752252060180165,0.000925660037026402,0,0
446,0.00728217058257365,0.0012410700496428,0,0
447,0.00703815056305205,0.001623150064926,0,0
448,0.00679107054328564,0.0020750700830028,0,0
449,0.00654154052332324,0.0025979301039172,0,0
450,0.00629023050321844,0.00319072012762881,0,0
451,0.00603779048302324,0.00385031015401241,0,0
452,0.00578491046279284,0.00457163018286521,0,0
453,0.00553228044258243,0.00534791021391641,0,0
454,0.00528061042244883,0.00617100024684001,0,0
455,0.00503060040244803,0.00703175028127001,0,0
456,0.00478294038263523,0.00792031031681241,0,0
457,0.00453834036306723,0.00882655035306201,0,0
458,0.00429747034379763,0.00974034038961362,0,0
459,0.00406099032487923,0.010651850426074,0,0
460,0.00382953030636242,0.0115517604620704,0,0
461,0.00360369028829522,0.0124314404972576,0,0
462,0.00338402027072162,0.013283100531324,0,0
463,0.00317104025368322,0.0140998405639936,0,0
464,0.00296519023721522,0.014875700595028,0,0
465,0.00276690022135202,0.015605700624228,0,0
466,0.00257648020611842,0.01628575065143,0,0
467,0.00239423019153842,0.0169126706765068,0,0
468,0.00222035017762801,0.0174841206993648,0,0
469,0.00205500016440001,0.0179984907199396,0,0
470,0.00189825015186001,0.018454900738196,0,0
471,0.00175011014000881,0.0188530407541216,0,0
472,0.00161055012884401,0.0191931707677268,0,0
473,0.00147946011835681,0.0194760107790404,0,0
474,0.00135670010853601,0.0197026607881064,0,0
475,0.00124205009936401,0.0198745707949828,0,0
476,0.00113528009082241,0.019993450799738,0,0
477,0.00103612008288961,0.0200612608024504,0,0
478,0.000944260075540806,0.0200800908032036,0,0
479,0.000859360068748805,0.0200522208020888,0,0
480,0.000781100062488005,0.0199799707991988,0,0
481,0.000709100056728005,0.0198657807946312,0,0
482,0.000643010051440804,0.019712100788484,0,0
483,0.000582460046596804,0.0195214107808564,0,0
484,0.000527100042168003,0.0192961907718476,0,0
485,0.000476580038126403,0.0190388907615556,0,0
486,0.000430530034442403,0.018751950750078,0,0
487,0.000388640031091202,0.01843775073751,0,0
488,0.000350590028047202,0.018098650723946,0,0
489,0.000316060025284802,0.0177369107094764,9.9999998e-09,0
490,0.000284770022781602,0.0173547806941912,2.99999994e-08,0
491,0.000256450020516002,0.0169543906781756,8.99999982e-08,0
492,0.000230840018467201,0.0165378406615136,2.299999954e-07,0
493,0.000207710016616801,0.0161071606442864,5.599999888e-07,0
494,0.000186840014947201,0.0156642606265704,1.2399999752e-06,0
495,0.000168010013440801,0.0152110406084416,2.599999948e-06,0
496,0.000151040012083201,0.0147492805899712,5.1899998962e-06,0
497,0.000135760010860801,0.0142807105712284,9.8399998032e-06,0
498,0.000122010009760801,0.0138069705522788,1.78099996438e-05,0
499,0.000109630008770401,0.0133296405331856,3.08799993824e-05,0
500,9.85100078808006e-05,0.0128502205140088,5.14599989708e-05,0
501,8.85100070808006e-05,0.0123701604948064,8.26299983474e-05,0
502,7.95200063616005e-05,0.011890800475632,0.0001281799974364,0
503,7.14400057152004e-05,0.011413450456538,0.0001925899961482,0
504,6.41900051352004e-05,0.0109393404375736,0.0002808899943822,0
505,5.76800046144004e-05,0.0104696304187852,0.0003985199920296,0
506,5.18300041464003e-05,0.010005400400216,0.0005511099889778,0
507,4.65800037264003e-05,0.00954770038190801,0.0007441799851164,0
508,4.18700033496003e-05,0.00909747036389881,0.0009828899803422,0
509,3.76400030112002e-05,0.00865563034622521,0.001271749974565,0
510,3.38400027072002e-05,0.00822298032891921,0.0016143099677138,0
511,3.04300024344002e-05,0.00780030031201201,0.002013049959739,0
512,2.73700021896002e-05,0.00738827029553081,0.0024690899506182,0
513,2.46300019704002e-05,0.00698753027950121,0.0029822299403554,0
514,2.21600017728001e-05,0.00659863026394521,0.0035508099289838,0
515,1.99400015952001e-05,0.00622205024888201,0.0041718599165628,0
516,1.79600014368001e-05,0.00585821023432841,0.0048411199031776,0
517,1.61700012936001e-05,0.00550745022029801,0.0055532298889354,0
518,1.45600011648001e-05,0.00517005020680201,0.0063019198739616,0
519,1.31200010496001e-05,0.00484622019384881,0.0070801798583964,0
520,1.18300009464001e-05,0.00453608018144321,0.0078805398423892,0
521,1.06600008528001e-05,0.00423971016958841,0.008695199826096,0
522,9.61000076880006e-06,0.00395711015828441,0.0095163098096738,0
523,8.67000069360006e-06,0.00368822014752881,0.0103361097932778,0
524,7.82000062560005e-06,0.00343292013731681,0.0111471097770578,0
525,7.06000056480004e-06,0.0031910301276412,0.0119422197611556,0
526,6.37000050960004e-06,0.0029623201184928,0.0127148797457024,0
527,5.76000046080004e-06,0.0027465201098608,0.0134591097308178,0
528,5.20000041600003e-06,0.0025433101017324,0.0141695697166086,0
529,4.70000037600003e-06,0.0023523300940932,0.0148416297031674,0
530,4.25000034000003e-06,0.0021731800869272,0.0154713596905728,0
531,3.84000030720002e-06,0.002005450080218,0.01605549967889,0
532,3.48000027840002e-06,0.0018486900739476,0.0165915096681698,0
533,3.14000025120002e-06,0.001702450068098,0.017077449658451,0
534,2.85000022800002e-06,0.00156625006265,0.0175120296497594,0
535,2.58000020640002e-06,0.001439600057584,0.0178944896421102,0
536,2.33000018640001e-06,0.0013220300528812,0.0182246196355076,0
537,2.11000016880001e-06,0.001213050048522,0.0185026296299474,0
538,1.92000015360001e-06,0.0011121700444868,0.0187291796254164,0
539,1.74000013920001e-06,0.0010189300407572,0.0189052596218948,0
540,1.58000012640001e-06,0.000932860037314401,0.019032199619356,0
541,1.43000011440001e-06,0.000853500034140001,0.0191115696177686,1.00000004e-08
542,1.30000010400001e-06,0.000780430031217201,0.019145149617097,2.00000008e-08
543,1.18000009440001e-06,0.000713200028528001,0.0191349296173014,4.00000016000001e-08
544,1.07000008560001e-06,0.000651440026057601,0.0190830196183396,8.00000032000001e-08
545,9.70000077600006e-07,0.000594730023789201,0.0189916196201676,1.700000068e-07
546,8.80000070400006e-07,0.000542730021709201,0.0188630296227394,3.30000013200001e-07
547,8.00000064000005e-07,0.000495080019803201,0.0186995796260084,6.30000025200001e-07
548,7.30000058400005e-07,0.000451450018058001,0.0185036196299276,1.1700000468e-06
549,6.60000052800004e-07,0.000411530016461201,0.0182775296344494,2.0900000836e-06
550,6.00000048000004e-07,0.000375040015001601,0.0180236296395274,3.60000014400001e-06
551,5.50000044000004e-07,0.000341690013667601,0.0177442396451152,6.03000024120001e-06
552,5.00000040000003e-07,0.0003112400124496,0.0174416196511676,9.81000039240001e-06
553,4.60000036800003e-07,0.000283450011338,0.0171179796576404,1.55200006208e-05
554,4.20000033600003e-07,0.000258100010324,0.0167754596644908,2.39400009576e-05
555,3.80000030400002e-07,0.0002349800093992,0.0164161296716774,3.60100014404001e-05
556,3.50000028000002e-07,0.0002139200085568,0.01604199967916,5.29500021180001e-05
557,3.20000025600002e-07,0.0001947200077888,0.0156549596869008,7.61700030468001e-05
558,2.90000023200002e-07,0.0001772400070896,0.0152568596948628,0.0001073400042936
559,2.60000020800002e-07,0.0001613200064528,0.0148494397030112,0.0001483400059336
560,2.40000019200002e-07,0.0001468200058728,0.0144343597113128,0.0002012700080508
561,2.20000017600001e-07,0.0001336300053452,0.014013199719736,0.0002683800107352
562,2.00000016000001e-07,0.0001216300048652,0.0135874297282514,0.000352040014081601
563,1.80000014400001e-07,0.0001107100044284,0.0131584797368304,0.000454670018186801
564,1.70000013600001e-07,0.0001007800040312,0.012727649745447,0.000578660023146401
565,1.50000012000001e-07,9.17400036696001e-05,0.0122962097540758,0.000726330029053201
566,1.40000011200001e-07,8.35200033408001e-05,0.0118653097626938,0.000899820035992801
567,1.30000010400001e-07,7.60500030420001e-05,0.011436049771279,0.0011010300440412
568,1.20000009600001e-07,6.92500027700001e-05,0.0110094397798112,0.0013315400532616
569,1.10000008800001e-07,6.30700025228001e-05,0.0105864397882712,0.0015925800637032
570,1.00000008000001e-07,5.74500022980001e-05,0.0101679197966416,0.0018849300753972
571,9.00000072000006e-08,5.23300020932001e-05,0.009754699804906,0.0022089600883584
572,8.00000064000005e-08,4.76800019072001e-05,0.0093475298130494,0.0025645301025812
573,8.00000064000005e-08,4.34500017380001e-05,0.008947099821058,0.0029510301180412
574,7.00000056000004e-08,3.96000015840001e-05,0.008554049828919,0.00336737013469481
575,6.00000048000004e-08,3.61000014440001e-05,0.0081689398366212,0.00381201015248041
576,6.00000048000004e-08,3.29200013168001e-05,0.007792299844154,0.00428298017131921
577,5.00000040000003e-08,3.00200012008e-05,0.007424599851508,0.00477792019111681
578,5.00000040000003e-08,2.73800010952e-05,0.007066249858675,0.00529413021176521
579,4.00000032000003e-08,2.49800009992e-05,0.006717599865648,0.00582864023314561
580,4.00000032000003e-08,2.27900009116e-05,0.0063789798724204,0.00637823025512921
581,4.00000032000003e-08,2.0800000832e-05,0.006050649878987,0.00693953027758121
582,3.00000024000002e-08,1.89900007596e-05,0.0057328298853434,0.00750905030036201
583,3.00000024000002e-08,1.73400006936e-05,0.0054256898914862,0.00808324032332961
584,3.00000024000002e-08,1.58400006336e-05,0.0051293698974126,0.00865856034634241
585,3.00000024000002e-08,1.44700005788e-05,0.0048439399031212,0.00923149036925961
586,2.00000016000001e-08,1.32200005288e-05,0.0045694699086106,0.00979864039194562
587,2.00000016000001e-08,1.20900004836e-05,0.0043059399138812,0.0103567304142692
588,2.00000016000001e-08,1.1050000442e-05,0.0040533299189334,0.0109026304361052
589,2.00000016000001e-08,1.0100000404e-05,0.0038115799237684,0.0114334404573376
590,2.00000016000001e-08,9.24000036960001e-06,0.0035805699283886,0.011946450477858
591,2.00000016000001e-08,8.45000033800001e-06,0.0033601899327962,0.0124391904975676
592,2.00000016000001e-08,7.74000030960001e-06,0.003150249936995,0.0129094305163772
593,1.00000008000001e-08,7.08000028320001e-06,0.0029505799409884,0.013355200534208
594,1.00000008000001e-08,6.48000025920001e-06,0.002760949944781,0.0137747705509908
595,1.00000008000001e-08,5.94000023760001e-06,0.0025811199483776,0.014166700566668
596,1.00000008000001e-08,5.44000021760001e-06,0.002410849951783,0.0145297705811908
597,1.00000008000001e-08,4.98000019920001e-06,0.0022498399550032,0.01486300059452
598,1.00000008000001e-08,4.57000018280001e-06,0.002097799958044,0.0151656806066272
599,1.00000008000001e-08,4.19000016760001e-06,0.0019544399609112,0.0154372906174916
600,1.00000008000001e-08,3.84000015360001e-06,0.0018194299636114,0.0156775406271016
601,1.00000008000001e-08,3.52000014080001e-06,0.0016924599661508,0.0158863406354536
602,1.00000008000001e-08,3.23000012920001e-06,0.0015731899685362,0.0160637806425512
603,1.00000008000001e-08,2.9700001188e-06,0.001461299970774,0.0162101106484044
604,1.00000008000001e-08,2.7200001088e-06,0.001356449972871,0.0163257606530304
605,1.00000008000001e-08,2.5000001e-06,0.0012583099748338,0.0164112806564512
606,0,2.300000092e-06,0.0011665599766688,0.0164673406586936
607,0,2.1100000844e-06,0.0010808599783828,0.01649475065979
608,0,1.9400000776e-06,0.0010009099799818,0.0164943806597752
609,0,1.7800000712e-06,0.0009263799814724,0.016467200658688
610,0,1.6400000656e-06,0.0008569799828604,0.0164142606565704
611,0,1.5100000604e-06,0.0007924099841518,0.0163366606534664
612,0,1.3800000552e-06,0.0007323899853522,0.0162355306494212
613,0,1.2700000508e-06,0.0006766299864674,0.0161120606444824
614,0,1.1700000468e-06,0.0006248799875024,0.0159674606386984
615,0,1.0800000432e-06,0.0005768899884622,0.015802950632118
616,0,9.90000039600002e-07,0.000532399989352,0.0156197706247908
617,0,9.20000036800001e-07,0.000491199990176,0.015419150616766
618,0,8.40000033600001e-07,0.0004530699909386,0.0152023206080928
619,0,7.80000031200001e-07,0.0004177799916444,0.01497050059882
620,0,7.20000028800001e-07,0.0003851599922968,0.0147249105889964
621,0,6.60000026400001e-07,0.0003550099928998,0.0144667105786684
622,0,6.10000024400001e-07,0.0003271599934568,0.0141970705678828
623,0,5.60000022400001e-07,0.000301449993971,0.0139171305566852
624,0,5.20000020800001e-07,0.0002777099944458,0.0136279705451188
625,0,4.80000019200001e-07,0.0002558099948838,0.0133306805332272
626,0,4.40000017600001e-07,0.0002356199952876,0.0130262805210512
627,0,4.10000016400001e-07,0.00021699999566,0.0127157605086304
628,0,3.80000015200001e-07,0.0001998299960034,0.0124000904960036
629,0,3.50000014000001e-07,0.0001840199963196,0.0120801904832076
630,0,3.200000128e-07,0.000169449996611,0.0117569404702776
631,0,3.00000012e-07,0.0001560299968794,0.0114311704572468
632,0,2.700000108e-07,0.0001436699971266,0.011103700444148
633,0,2.5000001e-07,0.0001322899973542,0.0107752904310116
634,0,2.300000092e-07,0.0001218099975638,0.0104466604178664
635,0,2.200000088e-07,0.0001121599977568,0.01011850040474
636,0,2.00000008e-07,0.0001032899979342,0.00979146039165842
637,0,1.900000076e-07,9.51199980976e-05,0.00946617037864681
638,0,1.700000068e-07,8.7599998248e-05,0.00914318036572721
639,0,1.600000064e-07,8.06799983864e-05,0.00882305035292202
640,0,1.50000006e-07,7.43099985138e-05,0.00850630034025201
641,0,1.400000056e-07,6.8449998631e-05,0.00819338032773521
642,0,1.300000052e-07,6.30599987388e-05,0.00788475031539001
643,0,1.200000048e-07,5.8099998838e-05,0.00758081030323241
644,0,1.100000044e-07,5.35399989292e-05,0.00728194029127761
645,0,1.00000004e-07,4.93399990132e-05,0.00698850027954001
646,0,9.00000036000001e-08,4.54699990906e-05,0.00670080026803201
647,0,9.00000036000001e-08,4.19199991616e-05,0.00641913025676521
648,0,8.00000032000001e-08,3.86399992272e-05,0.00614375024575001
649,0,7.00000028000001e-08,3.56299992874e-05,0.00587489023499561
650,0,7.00000028000001e-08,3.28599993428e-05,0.00561276022451041
651,0,6.00000024000001e-08,3.03099993938e-05,0.00535754021430161
652,0,6.00000024000001e-08,2.79599994408e-05,0.00510938020437521
653,0,6.00000024000001e-08,2.57899994842e-05,0.00486841019473641
654,0,5.00000020000001e-08,2.3799999524e-05,0.00463472018538881
655,0,5.00000020000001e-08,2.19599995608e-05,0.00440841017633641
656,0,4.00000016000001e-08,2.02699995946e-05,0.00418951016758041
657,0,4.00000016000001e-08,1.87199996256e-05,0.00397807015912281
658,0,4.00000016000001e-08,1.72799996544e-05,0.00377410015096401
659,0,4.00000016000001e-08,1.59599996808e-05,0.00357757014310281
660,0,3.00000012e-08,1.47399997052e-05,0.00338847013553881
661,0,3.00000012e-08,1.36199997276e-05,0.00320673012826921
662,0,3.00000012e-08,1.25899997482e-05,0.003032300121292
663,0,3.00000012e-08,1.16299997674e-05,0.0028650801146032
664,0,3.00000012e-08,1.0749999785e-05,0.0027049801081992
665,0,2.00000008e-08,9.9399998012e-06,0.0025518601020744
666,0,2.00000008e-08,9.1899998162e-06,0.0024056200962248
667,0,2.00000008e-08,8.49999983e-06,0.0022660900906436
668,0,2.00000008e-08,7.8699998426e-06,0.0021331200853248
669,0,2.00000008e-08,7.2799998544e-06,0.0020065600802624
670,0,2.00000008e-08,6.7399998652e-06,0.0018862300754492
671,0,2.00000008e-08,6.2299998754e-06,0.0017719300708772
672,0,1.00000004e-08,5.7699998846e-06,0.00166350006654
673,0,1.00000004e-08,5.3399998932e-06,0.0015607300624292
674,0,1.00000004e-08,4.949999901e-06,0.0014634300585372
675,0,1.00000004e-08,4.5899999082e-06,0.0013714100548564
676,0,1.00000004e-08,4.249999915e-06,0.0012844400513776
677,0,1.00000004e-08,3.9399999212e-06,0.001202350048094
678,0,1.00000004e-08,3.649999927e-06,0.0011249200449968
679,0,1.00000004e-08,3.3799999324e-06,0.0010519600420784
680,0,1.00000004e-08,3.1399999372e-06,0.000983260039330401
681,0,1.00000004e-08,2.9099999418e-06,0.000918630036745202
682,0,1.00000004e-08,2.699999946e-06,0.000857880034315201
683,0,1.00000004e-08,2.5099999498e-06,0.000800820032032801
684,0,1.00000004e-08,2.3199999536e-06,0.000747260029890401
685,0,1.00000004e-08,2.1599999568e-06,0.000697030027881201
686,0,1.00000004e-08,1.99999996e-06,0.000649940025997601
687,0,1.00000004e-08,1.8599999628e-06,0.000605840024233601
688,0,0,1.7299999654e-06,0.000564560022582401
689,0,0,1.6099999678e-06,0.000525940021037601
690,0,0,1.4899999702e-06,0.000489820019592801
691,0,0,1.3899999722e-06,0.000456080018243201
692,0,0,1.2899999742e-06,0.000424550016982001
693,0,0,1.199999976e-06,0.000395130015805201
694,0,0,1.1099999778e-06,0.000367660014706401
695,0,0,1.0399999792e-06,0.000342050013682001
696,0,0,9.599999808e-07,0.000318170012726801
697,0,0,8.99999982e-07,0.000295900011836
698,0,0,8.399999832e-07,0.0002751600110064
699,0,0,7.799999844e-07,0.000255850010234
700,0,0,7.199999856e-07,0.0002378600095144
